DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RAD-SOL
05/02/2018 15:30       127       138      4.30      6.00      14.1        45    1012.0       0.0     137.0
05/02/2018 15:40       107       122      4.30      7.00      14.7        44    1012.2       0.0     159.0
05/02/2018 15:50       113       116      5.10      7.50      15.0        43    1012.4       0.0     206.0
05/02/2018 16:00       129       140      4.90      7.80      15.6        42    1012.5       0.0     215.0
05/02/2018 16:10       111       118      4.50      7.20      16.4        41    1012.6       0.0     274.0
05/02/2018 16:20       156       169      5.40      8.90      17.1        39    1012.6       0.0     274.0
05/02/2018 16:30       164       193      5.60      9.20      17.3        38    1012.6       0.0     337.0
05/02/2018 16:40       154       164      5.40      8.00      18.0        36     930.1       0.0     343.0
05/02/2018 16:50       166       177      5.60      7.80      18.8        35    1012.5       0.0     344.0
05/02/2018 17:00       168       159      5.40      7.80      19.3        34    1012.5       0.0     406.0
05/02/2018 17:10       190       216      5.30      8.50      19.9        34    1012.4       0.0     411.0
05/02/2018 17:20       158       193      5.10      8.50      20.4        35     969.8       0.0     422.0
05/02/2018 17:30       164       199      6.10      9.00      20.8        34     848.8       0.0     479.0
05/02/2018 17:40       174       170      4.70      7.30      21.5        33    1012.4       0.0     462.0
05/02/2018 17:50       141       169      4.20      7.70      22.5        32    1012.4       0.0     522.0
05/02/2018 18:00       167       233      4.80      8.60      22.8        31    1012.4       0.0     549.0
05/02/2018 18:10       159       225      5.00      9.80      23.3        31    1012.3       0.0     550.0
05/02/2018 18:20       152       142      5.60      9.30      23.5        30    1012.1       0.0     610.0
05/02/2018 18:30       190       242      5.00      9.70      24.1        29    1012.0       0.0     617.0
05/02/2018 18:40       169       173      5.70      8.90      24.4        29    1011.9       0.0     621.0
05/02/2018 18:50       158       204      5.70      9.20      24.9        28    1011.8       0.0     683.0
05/02/2018 19:00       158       153      4.20      8.50      25.5        27    1011.7       0.0     686.0
05/02/2018 19:10       147       153      5.00      9.00      25.8        27    1011.7       0.0     686.0
05/02/2018 19:20       237       238      4.70     10.10      26.0        27    1011.5       0.0     686.0
05/02/2018 19:30       228       242      5.50      9.60      26.4        26    1011.5       0.0     686.0
05/02/2018 19:40       187       232      4.10      8.80      27.1        26    1011.4       0.0     686.0
05/02/2018 19:50       102       259      5.60     10.50      26.9        25    1011.3       0.0     686.0
05/02/2018 20:00        66       107      4.70      8.00      27.0        25    1011.1       0.0     686.0
05/02/2018 20:10       325       360      3.30      5.80      27.7        24    1010.9       0.0     686.0
05/02/2018 20:20       345       360      4.30      9.50      27.6        24    1010.7       0.0     686.0
05/02/2018 20:30        73       138      5.50     10.20      27.9        24    1010.5       0.0     686.0
05/02/2018 20:40        12       320      4.00      7.60      28.3        23    1010.2       0.0     654.0
05/02/2018 20:50       116       186      5.30      8.20      28.4        23    1010.1       0.0     639.0
05/02/2018 21:00       182       203      5.30      9.80      28.5        23    1009.9       0.0     618.0
05/02/2018 21:10       201       231      6.40     12.50      28.4        23    1009.8       0.0     618.0
05/02/2018 21:20       205       236      5.70     10.10      28.5        23    1009.7       0.0     618.0
05/02/2018 21:30       221       236      6.60     11.40      28.4        23    1009.5       0.0     618.0
05/02/2018 21:40       249       293      5.80     11.50      29.2        22    1009.4       0.0     618.0
05/02/2018 21:50       355       356      6.70     10.30      29.0        22    1009.3       0.0     580.0
05/02/2018 22:00        12       360      4.90      9.60      28.5        23    1009.2       0.0     550.0
05/02/2018 22:10       306       338      7.70     13.40      28.9        23    1009.1       0.0     549.0
05/02/2018 22:20       271       294      5.40     10.30      29.6        22    1009.0       0.0     531.0
05/02/2018 22:30        10       356      3.60      7.40      29.4        23    1008.9       0.0     486.0
05/02/2018 22:40       138       358      3.30      6.60      29.2        23    1008.8       0.0     480.0
05/02/2018 22:50       214       320      6.30     19.00      29.1        23    1008.7       0.0     477.0
05/02/2018 23:00       313       345      7.60     11.30      28.7        23    1008.6       0.0     428.0
05/02/2018 23:10       292       312      5.30     10.30      29.1        23    1008.5       0.0     373.0
05/02/2018 23:20       280       283      5.70      9.80      29.3        23    1008.4       0.0     343.0
05/02/2018 23:30       247       267      5.40      9.90      29.2        23    1008.4       0.0     342.0
05/02/2018 23:40       259       300      3.40      6.80      28.7        23    1008.3       0.0     277.0
05/02/2018 23:50       285       321      3.40      6.60      28.5        23    1008.3       0.0     242.0
06/02/2018 00:00       285       351      5.80     11.20      28.3        23     966.1       0.0     206.0
06/02/2018 00:10       292       294      7.30     11.40      28.1        23     804.8       0.0     206.0
06/02/2018 00:20       302       313      6.10      8.50      28.0        23     681.6       0.0     171.0
06/02/2018 00:30       277       306      7.00      9.90      27.7        24     600.0       0.0     133.0
06/02/2018 00:40       288       297      6.10      8.60      27.2        24     600.0       0.0      70.0
06/02/2018 00:50       298       299      6.60      8.40      26.9        25     600.0       0.0      69.0
06/02/2018 01:00       308       312      6.10      8.20      26.7        26     600.0       0.0      56.0
06/02/2018 01:10       294       310      5.90      7.40      25.8        27     600.0       0.0       0.0
06/02/2018 01:20       279       290      7.10      9.70      24.8        28     600.0       0.0       0.0
06/02/2018 01:30       274       272      8.00     11.30      24.0        29     723.8       0.0       0.0
06/02/2018 01:40       276       281      7.50      9.10      23.5        30     966.1       0.0       0.0
06/02/2018 01:50       284       291      6.70      8.70      23.2        30     600.0       0.0       0.0
06/02/2018 02:00       273       279      8.20     10.10      22.7        31     640.9       0.0       0.0
06/02/2018 02:10       254       261      6.90     10.20      22.2        31     728.9       0.0       0.0
06/02/2018 02:20       243       283      4.70      8.10      21.7        31     967.6       0.0       0.0
06/02/2018 02:30       200       240      4.70      9.60      21.6        31    1008.3       0.0       0.0
06/02/2018 02:40       162       162      3.80      5.50      21.5        32    1008.3       0.0       0.0
06/02/2018 02:50       167       176      4.70      6.00      20.9        34    1008.2       0.0       0.0
06/02/2018 03:00       195       215      5.20      7.60      21.0        35    1008.3       0.0       0.0
06/02/2018 03:10       211       220      6.90      8.60      21.1        34    1008.4       0.0       0.0
06/02/2018 03:20       198       216      6.50     11.30      20.4        35     967.6       0.0       0.0
06/02/2018 03:30       201       219      7.70     10.10      20.2        37    1008.4       0.0       0.0
06/02/2018 03:40       193       199      7.10      9.60      19.7        38    1008.5       0.0       0.0
06/02/2018 03:50       203       216      8.60     11.00      19.2        39    1008.7       0.0       0.0
06/02/2018 04:00       193       196      6.70      9.10      18.8        42    1008.7       0.0       0.0
06/02/2018 04:10       205       209      8.00     10.30      18.5        46    1008.8       0.0       0.0
06/02/2018 04:20       206       210      8.90     11.20      18.2        50    1008.8       0.0       0.0
06/02/2018 04:30       205       207     11.90     16.20      18.4        53    1008.8       0.0       0.0
06/02/2018 04:40       200       210     10.50     14.90      18.5        55    1008.9       0.0       0.0
06/02/2018 04:50       198       207      9.10     13.10      18.4        56    1008.9       0.0       0.0
06/02/2018 05:00       197       207      7.20     12.50      18.0        56    1009.1       0.0       0.0
06/02/2018 05:10       192       209      6.40      9.70      17.8        57     638.3       0.0       0.0
06/02/2018 05:20       188       201      6.50      8.60      18.0        57     600.0       0.0       0.0
06/02/2018 05:30       194       198      8.10     10.10      17.8        58     600.0       0.0       0.0
06/02/2018 05:40       188       198      8.30     11.00      17.4        60     600.0       0.0       0.0
06/02/2018 05:50       177       208      7.80     11.00      17.2        61     600.0       0.0       0.0
06/02/2018 06:00       161       174      7.40     10.70      17.0        62     600.0       0.0       0.0
06/02/2018 06:10       154       168      7.30      9.20      16.8        63     600.0       0.0       0.0
06/02/2018 06:20       148       152      7.50     10.70      16.6        64     600.0       0.0       0.0
06/02/2018 06:30       148       157      9.30     12.70      16.4        65     804.8       0.0       0.0
06/02/2018 06:40       145       147      8.70     12.60      16.2        65     886.7       0.0       0.0
06/02/2018 06:50       156       159      9.50     13.40      16.0        65     804.8       0.0       0.0
06/02/2018 07:00       152       160     10.90     14.50      15.9        65     600.0       0.0       0.0
06/02/2018 07:10       143       156      9.90     14.40      15.8        65     600.0       0.0       0.0
06/02/2018 07:20       139       146      9.70     14.10      15.6        64     600.0       0.0       0.0
06/02/2018 07:30       132       152      9.50     14.60      15.8        63     600.0       0.0       0.0
06/02/2018 07:40       140       146      9.30     13.40      15.8        61     600.0       0.0       0.0
06/02/2018 07:50       126       158      9.00     14.00      15.9        58     969.8       0.0       0.0
06/02/2018 08:00       109       118     10.30     13.60      15.7        57    1009.3       0.0       0.0
