PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
  934.0    751    0.8   -8.2     51   2.22    140      3  279.4  285.8  279.7
  925.0    826    1.4  -11.6     37   1.71    120      5  280.7  285.8  281.0
  923.0    843    1.6  -11.4     37   1.74    114      5  281.1  286.3  281.4
  915.0    914    3.0  -13.0     30   1.54     90      4  283.2  287.9  283.5
  915.0    914    3.0  -13.0     30   1.54     90      4  283.2  287.9  283.5
  881.0   1219    2.2  -13.8     30   1.51      0      4  285.6  290.2  285.8
  870.0   1321    2.0  -14.0     29   1.50      4      5  286.3  290.9  286.6
  850.0   1508    1.0  -14.0     32   1.53     10      8  287.2  291.9  287.4
  816.4   1829   -1.8  -16.3     32   1.32      0     14  287.6  291.7  287.8
  785.7   2134   -4.4  -18.4     33   1.14    350     18  287.9  291.5  288.1
  785.0   2141   -4.5  -18.5     33   1.14    349     18  287.9  291.5  288.1
  769.0   2303   -5.7  -16.7     42   1.35    336     19  288.3  292.5  288.5
  755.9   2438   -6.2  -19.1     35   1.12    325     19  289.2  292.7  289.4
  742.0   2583   -6.7  -21.7     29   0.91    332     25  290.2  293.1  290.3
  727.0   2743   -5.8  -19.2     34   1.16    340     32  292.9  296.6  293.1
  723.0   2786   -5.5  -18.5     35   1.24    342     32  293.6  297.6  293.9
  708.0   2951   -4.9  -23.9     21   0.79    350     33  296.1  298.7  296.2
  700.0   3040   -5.3  -25.3     19   0.70    355     34  296.6  298.9  296.7
  680.0   3267   -6.3  -24.3     23   0.79    355     35  297.9  300.6  298.1
  673.0   3348   -6.1  -25.1     21   0.74    355     36  299.0  301.6  299.2
  672.6   3353   -6.1  -25.1     21   0.74    355     36  299.1  301.6  299.2
  646.7   3658   -8.6  -26.6     22   0.68    355     39  299.6  301.9  299.7
  624.0   3935  -10.9  -27.9     23   0.62    353     42  300.1  302.2  300.2
  597.4   4267  -13.2  -35.0     14   0.33    350     46  301.2  302.4  301.2
  565.0   4691  -16.1  -44.1      7   0.14    357     58  302.6  303.1  302.6
  551.3   4877  -15.0  -52.1      3   0.06      0     63  306.0  306.2  306.0
  547.0   4936  -14.7  -54.7      2   0.04    360     63  307.1  307.2  307.1
  500.0   5610  -19.9  -49.9      5   0.08    355     67  308.7  309.0  308.7
  467.9   6096  -23.7  -47.4      9   0.11    355     73  309.9  310.3  309.9
  460.0   6221  -24.7  -46.7     11   0.13    355     75  310.2  310.6  310.2
  446.0   6446  -24.7  -53.7      5   0.06    355     79  312.9  313.1  312.9
  418.0   6915  -26.7  -56.7      4   0.04    355     88  316.2  316.4  316.2
  412.5   7010  -27.4  -56.5      5   0.04    355     88  316.5  316.7  316.5
  400.0   7230  -29.1  -56.1      6   0.05      0     87  317.1  317.3  317.1
  378.4   7620  -32.4  -58.3      6   0.04      0     88  317.8  318.0  317.8
  345.0   8267  -37.9  -61.9      6   0.03    352     85  318.9  319.0  318.9
  317.3   8839  -40.8  -65.7      5   0.02    345     82  322.5  322.6  322.5
  313.0   8932  -41.3  -66.3      5   0.02    345     80  323.1  323.2  323.1
  304.0   9130  -41.3  -67.3      4   0.01    345     76  325.8  325.9  325.8
  303.4   9144  -41.4  -67.4      4   0.01    345     76  325.9  326.0  325.9
  300.0   9220  -41.7  -67.7      4   0.01    345     72  326.5  326.5  326.5
  287.0   9519  -43.3  -70.3      4   0.01    348     58  328.4  328.4  328.4
  281.0   9662  -43.3  -71.3      3   0.01    349     51  330.3  330.4  330.3
  277.1   9754  -43.9  -71.9      3   0.01    350     47  330.8  330.8  330.8
  252.9  10363  -47.8  -75.8      3   0.01    315     33  333.8  333.8  333.8
  250.0  10440  -48.3  -76.3      2   0.00    305     33  334.1  334.1  334.1
  244.0  10599  -49.5  -76.5      3   0.00    295     36  334.7  334.7  334.7
  241.4  10668  -49.5  -76.5      3   0.00    275     43  335.7  335.7  335.7
  240.0  10707  -49.5  -76.5      3   0.00    275     44  336.2  336.3  336.2
  236.0  10817  -47.1  -77.1      2   0.00    275     46  341.5  341.5  341.5
  219.0  11308  -49.5  -79.5      2   0.00    275     57  345.1  345.2  345.2
  215.0  11429  -48.5  -79.5      2   0.00    275     60  348.5  348.6  348.5
  204.0  11772  -51.1  -80.1      2   0.00    275     67  349.7  349.7  349.7
  200.4  11887  -51.1  -81.0      2   0.00    275     70  351.5  351.5  351.5
  200.0  11900  -51.1  -81.1      2   0.00    275     70  351.7  351.7  351.7
  182.5  12497  -51.3  -82.9      1   0.00    300     42  360.8  360.8  360.8
  179.0  12622  -51.3  -83.3      1   0.00    291     39  362.7  362.7  362.7
  175.0  12769  -50.5  -83.5      1   0.00    280     35  366.4  366.4  366.4
  169.0  12996  -51.7  -83.7      1   0.00    263     30  368.0  368.0  368.0
  167.0  13074  -50.3  -83.3      1   0.00    257     28  371.6  371.6  371.6
  166.2  13106  -50.3  -83.3      1   0.00    255     27  372.2  372.2  372.2
  163.0  13232  -50.1  -83.1      1   0.00    249     27  374.5  374.6  374.5
  158.6  13411  -51.6  -84.0      1   0.00    240     28  374.9  374.9  374.9
  150.0  13770  -54.7  -85.7      1   0.00    245     38  375.6  375.6  375.6
  144.2  14021  -56.8  -86.0      1   0.00    245     40  376.3  376.3  376.3
  140.0  14208  -58.3  -86.3      2   0.00    250     43  376.8  376.8  376.8
  130.0  14673  -60.1  -87.1      2   0.00    263     49  381.6  381.6  381.6
  125.0  14917  -60.3  -87.3      2   0.00    270     53  385.6  385.6  385.6
  124.7  14935  -60.2  -87.3      2   0.00    270     53  386.1  386.1  386.1
  120.0  15173  -58.3  -87.3      1   0.00    270     46  393.8  393.8  393.8
  118.7  15240  -58.8  -87.8      1   0.00    270     44  394.0  394.0  394.0
  118.0  15279  -59.1  -88.1      1   0.00    269     43  394.2  394.2  394.2
