   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
  923.0    751   31.6   11.6     29   9.38    170      3  311.8  341.1  313.6
  909.0    888   30.6   14.6     38  11.62    204      8  312.1  348.3  314.3
  906.4    914   30.8   13.8     36  11.07    210      9  312.6  347.0  314.6
  895.0   1027   31.4   10.4     27   8.92    262      8  314.4  342.5  316.1
  876.0   1219   30.4    8.3     25   7.89    350      5  315.3  340.4  316.8
  863.0   1352   29.8    6.8     24   7.23    338      4  316.0  339.1  317.4
  850.0   1487   28.8    6.8     25   7.34    325      3  316.3  339.8  317.7
  817.7   1829   26.2    5.9     27   7.18    280      6  317.1  340.1  318.4
  813.0   1880   25.8    5.8     28   7.16    282      7  317.2  340.2  318.5
  789.7   2134   24.3    3.6     26   6.33    290     10  318.2  338.8  319.5
  762.7   2438   22.6    1.0     24   5.44    305     12  319.5  337.4  320.6
  748.0   2607   21.6   -0.4     23   4.99    302     14  320.2  336.7  321.2
  736.3   2743   20.4    0.3     26   5.34    300     16  320.4  338.0  321.4
  710.6   3048   17.7    1.9     35   6.22    305     17  320.7  341.0  321.9
  706.0   3104   17.2    2.2     37   6.39    307     16  320.7  341.6  321.9
  700.0   3177   16.8    0.8     34   5.83    310     15  321.1  340.2  322.2
  681.0   3411   15.2   -2.8     29   4.59    317     14  321.8  337.1  322.7
  661.2   3658   13.3   -4.0     30   4.34    325     13  322.4  336.9  323.2
  631.0   4051   10.2   -5.8     32   3.95    341      9  323.2  336.5  324.0
  614.5   4267    8.3   -6.0     36   3.98    350      6  323.4  336.9  324.2
  570.2   4877    2.9   -6.8     49   4.07     50      6  324.1  337.8  324.9
  549.2   5182    0.2   -7.1     58   4.11     65     11  324.4  338.3  325.2
  538.0   5351   -1.3   -7.3     64   4.13     73     12  324.5  338.5  325.3
  528.9   5486   -2.5   -7.8     67   4.04     80     13  324.7  338.4  325.5
  513.0   5728   -4.5   -8.7     72   3.88     94     13  325.1  338.3  325.9
  500.0   5930   -5.9  -10.4     71   3.48    105     13  325.8  337.7  326.5
  498.0   5961   -6.1  -10.7     70   3.42    108     13  325.9  337.6  326.6
  489.4   6096   -7.3  -11.1     74   3.38    120     13  326.1  337.7  326.8
  465.0   6492  -10.7  -12.1     89   3.27    152      9  326.6  337.9  327.3
  450.0   6742  -12.9  -14.5     88   2.78    173      7  326.9  336.6  327.5
  441.0   6896  -13.7  -15.4     87   2.63    185      5  327.8  337.0  328.4
  433.0   7035  -13.9  -18.1     71   2.14    197      4  329.3  336.9  329.7
  417.2   7315  -16.1  -18.8     80   2.09    220      1  330.0  337.5  330.4
  417.0   7318  -16.1  -18.8     80   2.09    221      1  330.0  337.5  330.4
  400.5   7620  -17.6  -22.5     66   1.58    265      5  331.8  337.6  332.2
  400.0   7630  -17.7  -22.6     66   1.57    265      5  331.9  337.6  332.2
  384.0   7935  -20.5  -22.6     83   1.63    261      5  332.1  338.1  332.4
  382.0   7973  -20.5  -23.5     77   1.51    261      5  332.6  338.2  332.9
  380.0   8012  -19.9  -31.9     34   0.70    260      5  333.9  336.6  334.0
  376.0   8091  -20.1  -38.1     18   0.38    259      5  334.6  336.2  334.7
  368.0   8250  -20.9  -36.9     22   0.44    257      5  335.6  337.4  335.7
  366.0   8291  -21.3  -35.3     27   0.52    256      5  335.6  337.7  335.7
  363.0   8352  -21.5  -29.5     48   0.92    256      5  336.1  339.7  336.3
  345.0   8725  -24.5  -34.5     39   0.60    251      4  337.0  339.4  337.1
  333.0   8982  -26.5  -32.5     57   0.75    247      4  337.7  340.6  337.9
  328.0   9092  -27.3  -35.3     47   0.58    246      4  338.1  340.4  338.2
  325.6   9144  -27.6  -38.1     36   0.44    245      4  338.4  340.1  338.5
  318.0   9315  -28.5  -47.5     14   0.17    262      5  339.4  340.1  339.4
  300.0   9730  -32.1  -49.1     17   0.15    305      7  340.0  340.6  340.1
  291.0   9944  -33.7  -51.7     15   0.11    282     11  340.7  341.2  340.7
  286.3  10058  -34.6  -43.3     41   0.29    270     13  341.0  342.2  341.0
  286.0  10066  -34.7  -42.7     44   0.31    270     13  341.0  342.3  341.0
  283.0  10139  -35.1  -43.1     44   0.30    269     13  341.4  342.7  341.5
  264.0  10620  -39.7  -44.0     63   0.29    261     13  341.6  342.8  341.6
  262.1  10668  -40.1  -46.0     53   0.24    260     13  341.7  342.7  341.7
  262.0  10672  -40.1  -46.1     53   0.23    260     13  341.7  342.7  341.8
  258.0  10776  -41.1  -46.1     58   0.24    249     13  341.7  342.7  341.8
  250.6  10973  -42.4  -49.2     47   0.17    230     14  342.7  343.4  342.7
  250.0  10990  -42.5  -49.5     46   0.17    230     14  342.7  343.5  342.8
  247.0  11071  -43.3  -51.3     41   0.14    231     14  342.7  343.3  342.8
  237.0  11348  -45.5  -51.5     51   0.14    234     13  343.5  344.1  343.5
  227.0  11634  -47.9  -55.9     39   0.09    238     13  344.1  344.5  344.1
  225.0  11693  -47.9  -55.9     39   0.09    239     13  344.9  345.3  345.0
  223.0  11751  -47.9  -59.9     24   0.05    239     13  345.8  346.1  345.8
  208.5  12192  -51.8  -63.8     22   0.03    245     12  346.5  346.7  346.5
  208.0  12207  -51.9  -63.9     22   0.03    245     12  346.5  346.7  346.5
  200.0  12460  -53.3  -66.3     19   0.03    245     12  348.2  348.3  348.2
  199.0  12492  -53.3  -66.3     19   0.03    247     12  348.7  348.8  348.7
  196.0  12590  -53.5  -70.5     11   0.01    253     13  349.9  350.0  349.9
  189.5  12802  -55.2  -72.2     10   0.01    265     15  350.6  350.7  350.6
  172.1  13411  -59.9  -76.9      9   0.01    255     21  352.6  352.6  352.6
  168.0  13562  -61.1  -78.1      9   0.01    266     19  353.0  353.0  353.0
  160.0  13864  -61.7  -79.7      7   0.00    288     16  356.9  357.0  356.9
  156.0  14021  -63.1  -80.3      8   0.00    300     14  357.1  357.2  357.1
  150.0  14260  -65.3  -81.3      9   0.00    285     14  357.4  357.4  357.4
  142.0  14592  -67.7  -81.7     12   0.00    285     20  358.9  358.9  358.9
  141.1  14630  -67.8  -81.8     12   0.00    285     21  359.3  359.3  359.3
  139.0  14720  -68.1  -82.1     12   0.00    278     18  360.3  360.4  360.3
